Membership No  Date Joined  Active  
    17891      2017-2-7     no    
    25091      2015-12-3    no    
    74960      2015-10-4    no    
    38640      2017-11-6    no    
    93258      2017-8-4     no    
    61539      2016-1-22    no    
    49777      2019-2-21    no    
    45139      2020-10-22   no    
    64032      2016-9-13    no    
    97003      2018-4-2     no    
    48844      2020-4-22    no    
    86213      2018-7-19    no    
    14740      2016-4-7     no    
    41944      2019-1-15    no    
